,"工業生產指數(年增率)"
,,,,,,,,,,,,,,,,,,,"單位：基期=105年"
"統計期","總指數","年增率(%)","總指數(不含土石採取業)","年增率(%)","礦業及土石採取業","年增率(%)","製造業","年增率(%)","金屬機電工業","年增率(%)","資訊電子工業","年增率(%)","化學工業","年增率(%)","民生工業","年增率(%)","電力及燃氣供應業","年增率(%)","用水供應業","年增率(%)",
"106年1月","99.26","6.27","99.24","6.30","103.27","-3.79","99.99","7.04","94.79","-3.58","102.04","15.27","99.39","0.61","101.04","2.64","89.75","-2.38","101.91","0.97",
"106年2月","92.09","16.90","92.11","16.92","83.32","2.05","92.87","18.53","88.29","12.93","95.68","26.56","90.54","2.37","92.03","24.77","82.82","0.12","90.88","-3.33",
"106年3月","108.82","8.55","108.82","8.56","105.25","1.12","110.09","9.46","111.49","3.48","110.11","14.39","104.50","0.01","117.48","16.54","93.80","-2.47","101.26","2.22",
"106年4月","94.85","0.96","94.83","0.97","93.53","-10.01","94.91","1.30","99.58","0.83","91.74","1.68","93.47","-4.23","104.33","11.18","93.82","-2.76","97.68","0.62",
"106年5月","103.78","3.30","103.75","3.31","111.59","3.62","103.62","3.52","104.53","-0.89","101.51","5.25","102.29","-1.45","115.03","13.88","105.34","0.58","104.95","4.82",
"106年6月","107.42","5.26","107.46","5.30","92.76","-6.89","107.13","5.43","108.15","3.93","108.33","6.91","105.15","3.91","102.61","3.88","112.44","4.10","100.39","2.76",
"106年7月","104.38","2.27","104.39","2.27","98.41","-1.04","103.36","2.19","104.49","2.82","104.20","3.82","104.71","1.15","94.33","-5.30","117.41","3.19","104.60","3.24",
"106年8月","111.48","5.69","111.51","5.72","100.05","-0.66","110.90","5.59","108.78","6.03","113.17","7.05","108.17","5.01","108.66","-1.37","119.84","7.56","105.11","1.20",
"106年9月","109.73","5.13","109.74","5.08","100.51","18.00","109.60","4.63","105.01","14.63","115.98","0.41","99.74","5.70","104.58","9.34","112.46","11.31","100.82","0.84",
"106年10月","107.51","2.67","107.54","2.68","89.85","-5.99","107.65","2.95","100.91","0.74","115.80","6.85","98.09","-0.96","97.39","-6.57","106.69","-0.28","103.72","0.12",
"106年11月","109.02","1.61","109.05","1.63","95.74","-6.16","110.10","1.55","109.43","5.56","115.52","2.42","99.61","-1.27","103.23","-5.91","97.08","3.12","98.92","-0.09",
"106年12月","111.67","4.17","111.67","4.20","101.74","-9.78","113.06","4.31","109.94","1.97","119.76","10.06","102.82","-1.92","104.13","-8.67","95.18","2.82","105.32","1.94",
"107年","108.83","3.65","108.84","3.65","94.42","-3.65","109.41","3.93","106.30","2.43","114.23","5.95","102.60","1.89","104.91","1.13","102.62","0.39","101.39","0.09",
"107年1月","108.57","9.38","108.57","9.40","96.82","-6.25","109.53","9.54","110.62","16.70","109.86","7.66","108.47","9.14","106.00","4.91","97.07","8.16","103.90","1.95",
"107年2月","87.73","-4.73","87.75","-4.73","69.07","-17.10","88.02","-5.22","80.89","-8.38","92.47","-3.35","89.61","-1.03","77.32","-15.98","84.29","1.77","92.72","2.02",
"107年3月","115.20","5.86","115.24","5.90","92.45","-12.16","116.77","6.07","115.49","3.59","122.74","11.47","106.58","1.99","109.60","-6.71","96.89","3.29","103.68","2.39",
"107年4月","102.74","8.32","102.75","8.35","89.01","-4.83","103.33","8.87","101.88","2.31","107.41","17.08","97.55","4.37","96.85","-7.17","95.94","2.26","100.47","2.86",
"107年5月","111.42","7.36","111.41","7.38","106.13","-4.89","111.47","7.58","114.43","9.47","112.31","10.64","105.54","3.18","111.33","-3.22","111.46","5.81","106.08","1.08",
"107年6月","107.44","0.02","107.45","-0.01","93.19","0.46","107.44","0.29","109.18","0.95","109.20","0.80","101.26","-3.70","105.96","3.26","108.66","-3.36","101.88","1.48",
"107年7月","109.26","4.68","109.29","4.69","95.34","-3.12","108.86","5.32","109.99","5.26","109.51","5.10","106.00","1.23","107.36","13.81","115.71","-1.45","103.97","-0.60",
